# THR_CH1/p.e. THR_CH2/p.e. R/Hz deltaR/Hz
## THR = OFFSET + GAIN * (No. of photolelectrons)
## Gain_CH1 Gain_CH2 Offset_CH1 Offset_CH2
## 1.00 1.00 0.00 0.00
# THR/p.e. R/Hz deltaR/Hz
0.00 10019.00 100.09
1.00 99176.71 631.11
2.00 99540.00 997.70
3.00 97620.00 988.03
4.00 100110.00 1000.55
5.00 97810.00 988.99
6.00 28180.00 530.85
7.00 17110.00 413.64
8.00 15140.00 389.10
9.00 15220.00 390.13
10.00 13950.00 373.50
11.00 14340.00 378.68
12.00 13010.00 360.69
13.00 13290.00 364.55
14.00 12370.00 351.71
15.00 13150.00 362.63
16.00 12910.00 359.30
17.00 12010.00 346.55
18.00 7800.00 279.28
19.00 5390.00 232.16
20.00 5084.11 217.98
21.00 4675.44 202.52
22.00 4951.22 200.63
23.00 4645.16 193.55
24.00 4488.37 186.53
25.00 4216.42 177.39
26.00 4342.86 176.13
27.00 4078.01 170.06
28.00 3993.20 164.82
29.00 3973.51 162.22
30.00 3655.84 154.08
31.00 2975.31 135.52
32.00 2744.57 122.13
33.00 2666.67 114.33
34.00 2724.77 111.80
35.00 2287.00 101.27
36.00 2313.01 96.97
37.00 2167.32 91.83
38.00 2283.09 91.62
39.00 2319.85 92.35
40.00 2144.44 89.12
41.00 2150.00 87.63
42.00 2042.11 84.65
43.00 1616.95 74.04
44.00 1486.65 66.42
45.00 1401.60 61.05
46.00 1371.64 57.91
47.00 1301.62 54.95
48.00 1341.41 54.36
49.00 1246.19 52.11
50.00 1231.73 50.71
51.00 1186.61 49.06
52.00 1106.09 46.62
53.00 1078.36 44.85
54.00 1059.25 43.61
55.00 907.50 39.80
56.00 898.09 37.82
57.00 748.87 33.66
58.00 677.90 30.23
59.00 678.36 28.64
60.00 677.75 27.88
61.00 604.91 25.98
62.00 628.90 25.57
63.00 628.45 25.36
64.00 559.39 23.83
65.00 592.95 23.77
66.00 523.31 22.31
67.00 422.32 19.42
68.00 418.80 18.04
69.00 355.23 16.02
70.00 326.07 14.45
71.00 292.65 13.01
72.00 319.63 12.90
73.00 306.50 12.58
74.00 297.43 12.23
75.00 279.49 11.70
76.00 260.18 11.03
77.00 285.21 11.22
78.00 0.00 0.00
