# THR_CH1/p.e. THR_CH2/p.e. R/Hz deltaR/Hz
## THR = OFFSET + GAIN * (No. of photolelectrons)
## Gain_CH1 Gain_CH2 Offset_CH1 Offset_CH2
## 1.00 1.00 0.00 0.00
# THR/p.e. R/Hz deltaR/Hz
0.00 69319.00 263.29
1.00 111830.00 1057.50
2.00 110590.00 1051.62
3.00 110540.00 1051.38
4.00 110020.00 1048.90
5.00 112350.00 1059.95
6.00 61560.00 784.60
7.00 17480.00 418.09
8.00 13630.00 369.19
9.00 12630.00 355.39
10.00 11160.00 334.07
11.00 10950.00 330.91
12.00 10010.00 316.39
13.00 9620.00 310.16
14.00 9900.00 314.64
15.00 9550.00 309.03
16.00 9300.00 304.96
17.00 8630.00 293.77
18.00 6180.00 248.60
19.00 1830.00 135.28
20.00 1375.00 86.45
21.00 1304.50 67.19
22.00 1282.26 58.71
23.00 1230.59 53.81
24.00 1155.17 49.90
25.00 1109.78 47.07
26.00 1011.30 43.64
27.00 1132.87 44.50
28.00 966.13 41.50
29.00 1009.97 40.96
30.00 650.82 32.66
31.00 254.90 18.25
32.00 184.81 11.62
33.00 177.59 9.09
34.00 154.85 7.50
35.00 153.66 6.79
36.00 139.91 6.17
37.00 148.46 6.05
38.00 0.00 0.00
